player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,games,minutes,minutes_per_game,minutes_pct,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,games,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Aaron Mooy,MF,Australia,32,1990,4,9,6,4,4,1,6,8,75,2,6,4,2,3,12,9,0,5,1.25,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,10,3,6,0,0,0,35,2,3,40,170,217,78.3,2819,951,78,90,86.7,59,73,80.8,18,31,58.1,0,0.1,0.1,-0.1,1,22,1,0,14,217,206,11,8,0,4,10,0,3,0,3,0,170,0,4,4,360,90,100,4,90,4,0,NA,0,1.5,4,6,-2,-0.5,NA,2.3,7.2,-4.9,-1.23,NA,255,14,62,168,26,0,255,2,3,66.7,5,4,152,1,0,1,0,0,0.25,0,0,NA,29.1,0,0,0,0,0,0.05,0,0,4,4,360,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
Aaron Ramsey,MF,Wales,31,1990,3,2,0,0,2,0,0,2,0,2,4,1,3,0,2,2,1,3,1.02,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,5,0,0,0,0,0,19,0,2,0,88,112,78.6,1796,339,37,41,90.2,27,35,77.1,18,23,78.3,0,0,0.1,0,1,7,1,0,5,112,101,10,3,0,3,5,0,1,0,1,0,88,1,3,3,266,89,98.5,3,89,2,0,NA,0,0.33,1,4,-3,-1.02,43.98,2.6,4.1,-1.5,-0.49,9.06,147,6,32,73,42,5,147,2,8,25,9,4,98,7,0,1,0,0,0.34,0,0,NA,18,0,0,0,0,0,0.04,0,0,3,3,266,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Abdelhamid Sabiri,MF,Morocco,26,1996,1.5,2,0,1,1,0,1,3,33.3,2,3,1,2,5,7,3,0,4,3.43,2,1,0,1,0,0,1,0.86,0,1,0,0,0,0,1,0,0,2,1,0,1,5,0,0,0,0,5,2,1,66.7,36,48,75,568,108,23,26,88.5,6,11,54.5,6,9,66.7,1,0.9,0.1,0.1,3,1,0,0,0,48,45,3,2,0,2,1,0,1,0,0,0,36,0,1,4,136,34,34.9,1,64,0,3,24,0,2,4,1,3,1.99,1.99,2.3,1.2,1,0.89,1.45,70,5,23,36,11,1,70,0,0,NA,0,2,40,0,0,3,0,0,1.99,0,0,NA,34.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1,4,1,136,0,1,0,0,0,1,0,0,0.66,0.66,0,0.66,0.1,0.1,0.9,1,0.11,0.75,0.86,0.11,0.86
Abdelkarim Hassan,DF,Qatar,29,1993,3,7,3,5,2,0,3,4,75,1,3,1,2,1,8,5,0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0,0,0,0,1,4,1,6,1,3,0,0,0,11,3,1,75,122,161,75.8,2462,813,57,63,90.5,44,51,86.3,20,37,54.1,0,0,0.1,0,1,13,1,0,8,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8,3,270,90,100,3,90,3,0,NA,0,0,1,7,-6,-2,NA,1.4,3.5,-2.1,-0.71,NA,193,15,83,95,17,2,193,1,5,20,2,0,138,1,0,6,0,0,2,0,0,NA,23.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0.01,0.11,0.1,0.11
Abderrazak Hamdallah,FW,Morocco,31,1990,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,7,12.5,6,9,66.7,42,11,5,5,100,0,3,0,0,0,NA,0,0,0,0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,3,43,14,11,0,NA,0,3,14,1,2.33,2,0,2,4.19,3.93,1.2,0,1.2,2.56,3.06,17,2,2,7,8,1,17,0,0,NA,4,3,15,3,0,1,1,100,2.09,2.09,0,0,11.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.12,0,0.12,0.12,0.12
Abdessamad Ezzalzouli,FW,Morocco,20,2001,0.9,3,2,2,1,0,1,1,100,0,3,0,3,0,3,3,0,1,1.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,4,1,2,33.3,6,9,66.7,65,38,5,6,83.3,1,1,100,0,2,0,0,0.1,0.1,-0.1,1,0,0,0,2,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0,2,80,40,20.5,0,NA,0,2,40,2,1,0,0,0,0,-0.87,0.5,0.7,-0.2,-0.44,-0.32,33,1,16,7,12,2,33,0,1,0,9,1,13,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.26,0.26,0,0.26
Abdou Diallo,DF,Senegal,26,1996,3.7,2,2,2,0,0,2,2,100,0,1,1,0,1,3,10,0,2,0.54,2,0,0,0,0,0,1,0.27,1,0,0,0,0,0,0,0,0,3,0,0,3,1,2,0,0,0,17,7,6,53.8,139,186,74.7,2852,1121,42,51,82.4,71,79,89.9,22,47,46.8,0,0.1,0,-0.1,1,10,1,1,8,186,165,20,12,0,4,3,8,0,0,0,0,139,1,1,4,331,83,91.9,4,83,3,0,NA,0,1.5,5,5,0,0,6.21,4,3.2,0.8,0.21,-0.59,210,19,98,98,15,1,210,0,0,NA,2,2,138,0,0,1,0,0,0.27,0,0,NA,15.4,0,0,0,0,0,0.03,0,0,4,4,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
Abdul Fatawu Issahaku,FW,Ghana,18,2004,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,100,48,36,0,0,NA,0,0,NA,1,1,100,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0.4,0,NA,0,1,1,2,0,0,0,0,0,0.67,0,0,0,-3.29,-2.82,2,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32,1990,2.2,1,1,0,0,1,1,2,50,1,0,0,0,1,2,0,0,2,0.92,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,0,0,0,4,1,2,33.3,72,91,79.1,973,231,46,53,86.8,17,22,77.3,4,6,66.7,0,0,0,0,1,3,0,0,1,91,84,6,4,0,0,1,0,1,1,0,0,72,1,4,3,196,65,72.6,2,87,1,1,22,0,0,1,5,-4,-1.84,0.6,0.7,3,-2.4,-1.08,-1.36,98,1,13,65,20,0,98,1,1,100,1,1,80,2,0,1,1,100,0.46,0.46,0,0,27.4,0,0,0,0,0,0.02,0,0,3,2,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Abdulelah Al-Amri,DF,Saudi Arabia,25,1997,2,1,0,1,0,0,0,1,0,1,2,1,1,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,1,4,0,0,0,0,15,10,4,71.4,74,104,71.2,1677,951,26,35,74.3,26,33,78.8,22,34,64.7,0,0,0,0,0,13,1,0,11,104,99,5,4,0,6,1,1,0,0,0,0,74,0,1,3,182,61,67.4,2,90,2,1,2,0,1,1,4,-3,-1.48,-2.51,2.8,3.9,-1.1,-0.53,1.49,129,12,58,65,7,2,129,0,0,NA,1,0,63,0,0,1,0,0,0.49,0,0,NA,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,3,2,182,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Abdulellah Al-Malki,MF,Saudi Arabia,28,1994,1.9,3,1,3,0,0,1,3,33.3,2,3,0,3,2,5,4,1,2,1.03,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0,2,0,0,8,4,0,1,2,1,0,0,0,9,0,1,0,66,84,78.6,1057,288,30,32,93.8,31,42,73.8,4,7,57.1,0,0,0,0,0,3,0,0,3,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1,2,174,87,64.4,2,87,1,0,NA,0,1.5,2,3,-1,-0.52,0.42,1.8,3.5,-1.7,-0.9,0.31,105,6,28,63,17,1,105,0,0,NA,3,0,58,2,0,2,0,0,1.03,0,0,NA,21.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2,2,174,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
Abdullah Madu,DF,Saudi Arabia,29,1993,0.5,1,0,1,0,0,0,0,NA,0,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50,5,13,38.5,89,64,2,3,66.7,2,6,33.3,1,2,50,0,0,0,0,0,0,0,0,1,13,12,1,1,0,0,0,0,0,0,0,0,5,0,1,1,45,45,16.7,0,NA,0,1,45,2,0,1,2,-1,-2,-1.6,0.9,1.3,-0.4,-0.79,0.27,19,4,12,8,0,0,19,0,0,NA,0,0,6,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
