"player","position","team","age","goals_assists_per90","cards_red","cards_yellow","sca","passes_completed","average_shot_distance"
"Aaron Mooy","MF","Australia",32,0,0,1,5,170,29.1
"Aaron Ramsey","MF","Wales",31,0,0,1,3,88,18
"Abdelhamid Sabiri","MF","Morocco",26,0.5,0,1,4,45,34.2
"Abdelkarim Hassan","DF","Qatar",29,0,0,0,4,122,23.6
"Abderrazak Hamdallah","FW","Morocco",32,0,0,0,0,8,7.8
"Abdessamad Ezzalzouli","FW","Morocco",21,0,0,0,4,10,13.7
"Abdou Diallo","DF","Senegal",26,0,0,0,2,139,15.4
"Abdul Fatawu Issahaku","FW","Ghana",18,0,0,0,0,1,NA
"Abdulaziz Hatem","MF","Qatar",32,0,0,0,2,72,27.4
"Abdulelah Al-Amri","DF","Saudi Arabia",25,0,0,2,0,74,10.5
"Abdulellah Al-Malki","MF","Saudi Arabia",28,0,0,2,2,66,21.1
"Abdullah Madu","DF","Saudi Arabia",29,0,0,1,0,5,NA
"Abdulrahman Al-Aboud","MF","Saudi Arabia",27,0,0,0,1,8,4.6
"Abolfazl Jalali","DF","IR Iran",24,0,0,1,1,20,NA
"Achraf Dari","DF","Morocco",23,0.48,0,1,0,99,4.1
"Achraf Hakimi","DF","Morocco",24,0.14,0,0,14,312,26.5
"Adrien Rabiot","MF","France",27,0.37,0,1,11,237,13.3
"Agustín Canobbio","MF","Uruguay",24,0,0,0,0,5,NA
"Ahmad Nourollahi","MF","IR Iran",29,0,0,0,0,35,29.2
"Ahmed Alaaeldin","FW","Qatar",29,0,0,0,0,0,NA
"Aimen Dahmen","GK","Tunisia",25,0,0,0,0,48,NA
"Ajdin Hrustic","MF","Australia",26,0,0,0,0,17,22.4
"Akram Afif","FW","Qatar",26,0,0,1,7,139,29.8
"Alan Franco","MF","Ecuador",24,0,0,0,0,10,NA
"Alejandro Balde","DF","Spain",19,0,0,0,2,112,11.3
"Aleksandar Mitrovi?","FW","Serbia",28,0.69,0,1,3,54,14.1
"Alex Sandro","DF","Brazil",31,0,0,0,6,150,33.5
"Alex Telles","DF","Brazil",30,0,0,0,1,33,NA
"Alexander Bah","DF","Denmark",25,0,0,0,4,37,19.3
