sca,age,minutes_90s,tackles_def_3rd,tackles_mid_3rd,assisted_shots,touches_att_pen_area,dribbles_completed,progressive_passes_received,shots_on_target,shots_per90,goals_per_shot,average_shot_distance,shots_free_kicks
5,1.191297958,1.727978095,1.43182222,2.248594075,-0.211727977,-0.742506375,0.606508217,-0.618441206,-0.559908918,-0.270370649,-0.430309732,1.900707695,-0.219685962
3,0.951059936,0.917604776,-0.744637173,0.741404354,-0.211727977,0.408456365,0.606508217,0.453180353,-0.559908918,-0.247574363,-0.430309732,0.035732994,-0.219685962
4,-0.250130176,-0.297955202,-0.200522325,-0.012190505,0.78601994,-0.512313827,-0.543911832,-0.7970448,-0.559908918,0.170357534,-0.430309732,2.757587963,3.144873818
4,0.470583891,0.917604776,1.975937068,0.741404354,-0.211727977,-0.282121279,0.031298193,-0.618441206,-0.559908918,0.172890455,-0.430309732,0.976621132,-0.219685962
0,1.191297958,-1.10832852,-0.744637173,-0.765785365,-0.710601936,-0.512313827,-0.543911832,-0.26123402,0.306981028,0.19568674,-0.430309732,-1.106774029,-0.219685962
4,-1.451320289,-0.784179192,0.343592523,-0.012190505,-0.211727977,-0.282121279,-0.543911832,-0.618441206,-0.559908918,-0.333693663,-0.430309732,-0.182687466,-0.219685962
2,-0.250130176,1.484866099,0.343592523,-0.765785365,-0.211727977,-0.512313827,-0.543911832,-0.7970448,-0.559908918,-0.265304807,-0.430309732,-0.401107927,-0.219685962
0,-2.172034356,-1.513515179,-0.744637173,-0.765785365,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.063225512,-0.246533447,-0.219685962
2,1.191297958,0.269306121,-0.744637173,-0.765785365,-0.211727977,-0.742506375,0.031298193,-0.439837614,0.306981028,-0.217179317,-0.430309732,1.61508094,-0.219685962
0,-0.490368199,0.107231457,-0.200522325,-0.765785365,-0.710601936,-0.282121279,-0.543911832,-0.7970448,-0.559908918,-0.209580554,-0.430309732,-1.224385047,-0.219685962
2,0.230345869,0.026194126,0.887707372,-0.765785365,-0.710601936,-0.512313827,-0.543911832,-0.439837614,-0.559908918,-0.072802843,-0.430309732,0.556581785,-0.219685962
0,0.470583891,-1.10832852,-0.200522325,-0.765785365,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.063225512,-0.945478921,-0.219685962
1,-0.009892154,-1.189365851,0.343592523,-0.012190505,-0.211727977,-0.282121279,-0.543911832,-0.082630427,-0.559908918,0.317266928,-0.430309732,-2.215677906,-0.219685962
1,-0.730606221,-1.351440515,-0.744637173,-0.765785365,-0.710601936,-0.742506375,0.031298193,-0.618441206,-0.559908918,-0.333693663,-0.430309732,-0.145724003,-0.219685962
0,-0.970844244,1.727978095,4.69651131,3.755783795,0.78601994,0.638648913,0.031298193,0.453180353,0.306981028,-0.143724619,-0.430309732,1.396660479,3.144873818
14,-0.730606221,1.160716771,0.887707372,3.002188935,0.78601994,2.710381847,0.031298193,1.703405505,1.173870974,0.200752581,0.348353764,-1.089972455,-0.219685962
11,-0.009892154,-1.432477847,-0.200522325,-0.765785365,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.430309732,-0.236452503,-0.219685962
0,-0.730606221,0.512418117,-0.200522325,-0.012190505,-0.710601936,-0.742506375,0.031298193,-0.618441206,0.306981028,0.177956296,-0.430309732,1.917509269,-0.219685962
0,0.470583891,-1.432477847,-0.744637173,-0.765785365,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.063225512,-0.945478921,-0.219685962
0,0.470583891,0.917604776,-0.744637173,-0.765785365,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.430309732,0.361683528,-0.219685962
0,-0.490368199,-0.946253856,-0.200522325,-0.012190505,-0.710601936,-0.512313827,0.031298193,-0.082630427,-0.559908918,0.033579822,-0.430309732,0.775002246,-0.219685962
0,-0.250130176,0.917604776,-0.744637173,-0.765785365,1.783767857,-0.282121279,1.181718241,0.988991132,-0.559908918,-0.163987983,-0.430309732,2.018318713,-0.219685962
7,-0.250130176,-1.10832852,-0.744637173,-0.012190505,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.430309732,0.022291736,-0.219685962
0,-0.730606221,-0.378992533,0.343592523,0.741404354,-0.710601936,-0.051928731,-0.543911832,-0.082630427,-0.559908918,-0.153856301,-0.430309732,-1.089972455,-0.219685962
2,-1.931796333,0.836567444,-0.744637173,-0.765785365,0.287145981,2.480189299,0.031298193,1.346198319,2.04076092,0.537631019,0.68206669,-0.619528387,-0.219685962
3,0.230345869,0.026194126,2.520051917,0.741404354,-0.211727977,-0.742506375,0.031298193,-0.082630427,-0.559908918,-0.204514713,-0.430309732,2.639976946,-0.219685962
6,0.951059936,-0.946253856,-0.744637173,-0.012190505,-0.710601936,-0.512313827,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.430309732,0.217189992,-0.219685962
1,0.710821913,-1.10832852,0.343592523,-0.012190505,-0.211727977,-0.051928731,-0.543911832,-0.439837614,-0.559908918,0.656678288,-0.430309732,0.254153455,-0.219685962
4,-0.490368199,-0.622104529,-0.200522325,-0.765785365,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.430309732,0.694354691,-0.219685962
1,0.230345869,0.593455448,0.343592523,2.248594075,1.284893899,0.408456365,0.031298193,1.346198319,1.173870974,-0.136125857,2.350631321,-0.569123666,-0.219685962
