"","sca","position","tackles_def_3rd","tackles_mid_3rd","touches_att_pen_area","dribbles_completed","passes_received","progressive_passes_received","shots_free_kicks"
"1",5,"MF",4,4,0,2,152,1,0
"2",3,"MF",0,2,5,2,98,7,0
"3",4,"MF",1,1,1,0,40,0,1
"4",4,"DF",5,2,2,1,138,1,0
"5",0,"FW",0,0,1,0,15,3,0
"6",1,"FW",2,1,2,0,13,1,0
"7",2,"DF",2,0,1,0,138,0,0
"8",0,"FW",0,0,0,0,1,0,0
"9",2,"MF",0,0,0,1,80,2,0
"10",0,"DF",1,0,2,0,63,0,0
"11",2,"MF",3,0,1,0,58,2,0
"12",0,"DF",1,0,0,0,6,0,0
"13",1,"MF",2,1,2,0,12,4,0
"14",1,"DF",0,0,0,1,18,1,0
"15",9,"DF",10,6,6,1,137,7,1
"16",8,"MF",3,5,15,1,174,14,0
"17",0,"MF",1,0,0,0,6,0,0
"18",0,"MF",1,1,0,1,39,1,0
"19",0,"FW",0,0,0,0,1,0,0
"20",0,"GK",0,0,0,0,34,0,0
"21",0,"MF",1,1,1,1,21,4,0
"22",7,"FW",0,0,2,3,141,10,0
"23",0,"MF",0,1,0,0,9,0,0
"24",2,"DF",2,2,3,0,109,4,0
"25",3,"FW",0,0,14,1,67,12,0
"26",6,"DF",6,2,0,1,118,4,0
"27",1,"DF",0,1,1,0,32,0,0
"28",4,"DF",2,1,3,0,36,2,0
"29",1,"DF",1,0,0,0,18,0,0
"30",8,"MF",2,4,5,1,123,12,0
"31",4,"FW",0,0,8,1,50,9,1
"32",3,"DF",5,2,3,1,67,11,0
"33",0,"MF",0,2,1,0,5,0,0
"34",0,"DF",2,2,0,0,65,0,0
"35",1,"MF",0,0,0,1,22,0,0
"36",7,"MF",0,0,3,4,51,7,0
"37",1,"MF",3,0,1,0,36,3,0
"38",2,"DF",0,1,0,0,34,3,0
"39",2,"DF",5,1,1,4,49,0,0
"40",0,"GK",0,0,0,0,17,0,0
"41",4,"MF",0,1,1,1,13,3,0
"42",0,"GK",0,0,0,0,27,0,0
"43",8,"DF",5,0,5,1,121,4,0
"44",0,"FW",0,0,6,0,48,8,0
"45",8,"MF",0,1,7,11,94,15,1
"46",0,"MF",2,2,3,1,59,1,0
